SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,15513 Gray Catbird,San Antonio,TX,78253,310000,4,2,Redbird Ranch,1690,5924,2018,4,183,44,Contingent,,,https://www.redfin.com/TX/San-Antonio/15513-Gray-Catbird-78253/home/110103740,Sabor,1601476,N,Y,29.438203,-98.8021437
MLS Listing,,Single Family Residential,3839 Harry Wurzbach Rd,San Antonio,TX,78209,398000,3,2.5,The Gardens At Urban Crest,1520,1524,2017,4,262,143,Active,,,https://www.redfin.com/TX/San-Antonio/3839-Harry-Wurzbach-Rd-78209/home/109476685,Sabor,1602147,N,Y,29.5050371,-98.4348664
MLS Listing,,Single Family Residential,327 Canyon View Run,San Antonio,TX,78258,690000,4,3.5,Canyon View,3614,13764,2017,5,191,118,Active,,,https://www.redfin.com/TX/San-Antonio/327-Canyon-View-Run-78258/home/110107372,Sabor,1601764,N,Y,29.6471826,-98.4898631
MLS Listing,,Single Family Residential,13111 Palatine Hl,San Antonio,TX,78253,498000,4,3.5,Bella Vista,3347,8058,2007,11,149,45,Active,,,https://www.redfin.com/TX/San-Antonio/13111-Palatine-Hl-78253/home/48662987,Sabor,1597423,N,Y,29.4281455,-98.7673283
MLS Listing,,Single Family Residential,7301 Silent Spg,San Antonio,TX,78250,295000,4,3.5,Sterling Oaks,1854,9931,1987,11,159,28,Active,,,https://www.redfin.com/TX/San-Antonio/7301-Silent-Spg-78250/home/49103523,Sabor,1599848,N,Y,29.5038008,-98.6581893
PAST SALE,June-8-2017,Single Family Residential,7130 Mountain Grv,San Antonio,TX,78250,289900,3,2,Northchase,1884,9016,1981,11,154,28,Pending,,,https://www.redfin.com/TX/San-Antonio/7130-Mountain-Grv-78250/home/49100564,Sabor,1600901,N,Y,29.5037762,-98.6652045
PAST SALE,,Single Family Residential,5118 Fountain Hl,San Antonio,TX,78244,229950,3,2,Meadow Park,1398,6185,2006,9,164,26,Pending,,,https://www.redfin.com/TX/San-Antonio/5118-Fountain-Hl-78244/home/48659915,Sabor,1596669,N,Y,29.4747558,-98.3712631
MLS Listing,,Multi-Family (2-4 Unit),130 Glenwood Ct,San Antonio,TX,78210,374990,8,4,Fair - North,3241,7710,1910,18,116,28,Active,,,https://www.redfin.com/TX/San-Antonio/130-Glenwood-Ct-78210/home/48747530,Sabor,1599455,N,Y,29.3882589,-98.4784002
MLS Listing,,Condo/Co-op,49 Showers Dr Unit A238,MOUNTAIN VIEW,CA,94040,825000,1,1,MOUNTAIN VIEW,1000,,1977,34,825,534,Contingent,,,https://www.redfin.com/CA/Mountain-View/49-Showers-Dr-94040/unit-A238/home/12171827,MLSListings,ML81884702,N,Y,37.404321,-122.1049166
MLS Listing,,Condo/Co-op,1033 Crestview Dr #110,MOUNTAIN VIEW,CA,94040,899000,2,2,MOUNTAIN VIEW,1140,,1969,5,789,510,Active,,,https://www.redfin.com/CA/Mountain-View/1033-Crestview-Dr-94040/unit-110/home/1697065,MLSListings,ML81889126,N,Y,37.3727312,-122.0598632
MLS Listing,,Single Family Residential,2774 Doverton Sq,MOUNTAIN VIEW,CA,94040,3495000,4,3,MOUNTAIN VIEW,2080,9147,1964,5,1680,28,Active,May-7-2022 01:30 PM,May-7-2022 04:30 PM,https://www.redfin.com/CA/Mountain-View/2774-Doverton-Sq-94040/home/1223477,MLSListings,ML81889099,N,Y,37.3641875,-122.0703175
